timestamp,song_id,title,channel,published_at,views,likes,comments
2026-06-02T00:09:43.712356+00:00,n2niiWfPpcA,"Tumhe Kitna Pyaar Karte (Lofi Flip) : Arijit Singh| Varun Dhawan,Janhvi Kapoor| Mithoon| IAMPRATHEEK",T-Series,2026-06-01T15:00:54Z,6767,179,31
2026-06-02T00:09:43.712356+00:00,Ev3fs7HT8fI,PEDDI: Chikiri Chikiri (Lyrical) (Hindi) | Ram Charan | Janhvi Kapoor | AR Rahman | Mohit Chauhan,T-Series,2026-06-01T13:38:39Z,13997,421,47
2026-06-02T00:09:43.712356+00:00,jZHeEZxzVbU,Song for The Soul💘✨- Isharey | Atharvamusic | #YTShortsIndia,T-Series,2026-06-01T12:46:47Z,43299,101,10
2026-06-02T00:09:43.712356+00:00,zioW-7Psd1I,Layi Vi Na Gayee (Full Song) 8K | Shah Rukh Khan | Rani Mukherjee | Chalte Chalte | Layi Vi Na Gayi,T-Series,2026-06-01T11:40:46Z,9525,183,11
2026-06-02T00:09:43.712356+00:00,uPkmdLrhHaQ,"Chalte Chalte Title Song - 8K Video | Shah Rukh Khan | Rani Mukherjee | Abhijeet, Alka Yagnik",T-Series,2026-06-01T11:30:52Z,9311,173,14
2026-06-02T00:09:43.712356+00:00,9c_8xZyU6Bs,Mohit Chauhan Singing Live😍 Chikiri Chikiri | Peddi | Ram Charan | Janhvi | Buchi Babu | AR Rahman,T-Series,2026-06-01T11:09:28Z,55376,218,15
2026-06-02T00:09:43.712356+00:00,waL2yYnLfmw,"Dum Duma Dum (Reboot) Full Video | Pati Patni Aur Woh Do | Udit N, Anuradha P | Anand-Milind| Sameer",T-Series,2026-06-01T09:30:06Z,46847,858,43
2026-06-02T00:09:43.712356+00:00,bnSJ79dP6l0,"Dil Lauta Do 8K Video | Jubin Nautiyal, Payal Dev | Sunny K, Saiyami K | Kunaal | Navjit | Bhushan K",T-Series,2026-06-01T08:36:28Z,12160,341,29
2026-06-02T00:09:43.712356+00:00,-ifzHfI2i0k,"Dil Tod Ke 8K Video | B Praak | Rochak Kohli | Manoj M | Abhishek S, Kaashish V | Bhushan Kumar",T-Series,2026-06-01T08:03:23Z,53610,1780,87
2026-06-02T00:09:43.712356+00:00,WzD0LzB5Zsw,"Ishq Tera Lofi Mix | Guru Randhawa | Nushrratt Bharuccha | DJ Gaurav, VDJ Fly | T-Series",T-Series,2026-05-31T15:02:05Z,32447,618,50
2026-06-02T00:09:43.712356+00:00,K74SudrickU,"Namastey London All Songs | Rafta Rafta, Dilruba, Viraaniya | Akshay, Katrina | Himesh Reshammiya",Sony Music India,2026-06-01T06:30:35Z,10256,211,14
2026-06-02T00:09:43.712356+00:00,EifHcgh2Zxk,"Tu Na Jaane Ye | Film Version | Ginny Wedss Sunny 2 | Avinash Tiwary, Medha Shankr | Sushant-Shankar",Sony Music India,2026-05-31T10:30:25Z,9628,125,10
2026-06-02T00:09:43.712356+00:00,BplXqsHPkMM,"Jaan Kadd Ke | Film Version | Ginny Wedss Sunny 2 | Avinash Tiwary, Medha Shankr | Sushant-Shankar",Sony Music India,2026-05-31T08:30:28Z,12435,254,13
2026-06-02T00:09:43.712356+00:00,u7KvX5Tg9Zo,Feel SRK’s Magic in....Kal Ho Naa Ho ❤️🥺 #hitsong #sadsong #bolleywoodsong #lovesong,Sony Music India,2026-05-31T07:30:25Z,64373,539,11
2026-06-02T00:09:43.712356+00:00,WAmoNT1EoUw,"Kal Ho Naa Ho - Lyrical Audio | Shahrukh Khan, Saif, Preity | Alka Y, Richa Sharma, Sonu Nigam",Sony Music India,2026-05-31T05:30:37Z,11542,392,27
2026-06-02T00:09:43.712356+00:00,Y7cm5VBTGuU,Late Night Love Vibes with Shayad Synthwave 🌃✨#lovesong #synthwave #trending #viralshort,Sony Music India,2026-05-30T13:30:02Z,40232,294,5
2026-06-02T00:09:43.712356+00:00,G2iFAMjFLuQ,"Hum Bhi Samajh Rahe Hain - Lyrical Video | Manoj Bajpai | Tabu | Alka Yagnik, Hariharan | Ghaath",Sony Music India,2026-05-30T11:30:25Z,10381,188,7
2026-06-02T00:09:43.712356+00:00,LjLaEK5VAs0,"Blockbuster Songs By Shankar Ehsaan Loy | Mitwa, O Rangrez, Ishq Di Baajiyaan | Video Jukebox",Sony Music India,2026-05-30T05:30:35Z,16013,286,10
2026-06-02T00:09:43.712356+00:00,-AdkZE3-oA8,Get Lost in Dil Ibaadat with Subhechha Mohanty ✨🎶 #musiccover #viralshort #lovesong #coverculture,Sony Music India,2026-05-29T12:30:33Z,53934,459,12
2026-06-02T00:09:43.712356+00:00,idTJtFVoU_Y,Dil Ibaadat (Unplugged) | Subhechha Mohanty | Pritam Chakraborty | Cover Culture,Sony Music India,2026-05-29T11:30:11Z,13683,376,23
2026-06-02T00:09:43.712356+00:00,SEgzqSvGPTs,LAKSHMI NIVAS | EP - 137 | Best Scene 4 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:29:08Z,2348,18,0
2026-06-02T00:09:43.712356+00:00,rsFOz7eAzcM,JAANE ANJAANE HUM MILE | EP - 529 | Best Scene 2 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:24:34Z,1007,4,0
2026-06-02T00:09:43.712356+00:00,7LAMao3lU0Q,SARU | EP - 380 | Best Scene 3 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:24:01Z,1266,14,0
2026-06-02T00:09:43.712356+00:00,4z5JgmFGY9g,GANGA MAI KI BETIYAN | EP - 246 | Best Scene 3 | May 30 2026 | ZEE TV,Zee TV,2026-06-01T19:21:36Z,982,15,0
2026-06-02T00:09:43.712356+00:00,_O-AtA49igk,VASUDHA | EP - 576 | Best Scene 2 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:22:57Z,1662,25,0
2026-06-02T00:09:43.712356+00:00,AA2kQijFY9A,VASUDHA | EP - 576 | Best Scene 1 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:22:33Z,1479,26,0
2026-06-02T00:09:43.712356+00:00,EOcMXmBtFS4,JAANE ANJAANE HUM MILE | EP - 529 | Best Scene 1 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:20:09Z,968,15,0
2026-06-02T00:09:43.712356+00:00,rD4skoihXLk,GANGA MAI KI BETIYAN | EP - 246 | Best Scene 2 | May 30 2026 | ZEE TV,Zee TV,2026-06-01T19:21:09Z,1737,24,0
2026-06-02T00:09:43.712356+00:00,FiVALuPRzTI,LAKSHMI NIVAS | EP - 137 | Best Scene 3 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:17:39Z,1115,5,0
2026-06-02T00:09:43.712356+00:00,3Dv3kUmP7mg,LAKSHMI NIVAS | EP - 137 | Best Scene 2 | May 30 2026 | Zee TV,Zee TV,2026-06-01T19:14:22Z,927,13,0
2026-06-02T00:09:43.712356+00:00,dfwO7rUsmuM,"Nazrein Tu Mila | Haunted 3D: Echoes Of The Past | Pragati Nagpal, Mimoh, Chetna | Releasing 12 June",Saregama Music,2026-06-01T08:38:41Z,47769,1301,91
